品編,品名,處方組成,註冊編號
90,銀翹散,"金銀花（12克）﹑連翹（12克）﹑薄荷葉（9克）﹑淡豆豉（9克）﹑桔梗（9克）﹑牛蒡子（9克）﹑淡竹葉（6克）
﹑荊芥（6克）﹑蘆根（6克）﹑生甘草（3克）",HKC-11430
91,酸棗仁湯,酸棗仁（15克）﹑茯苓（9克）﹑知母（9克）﹑川芎（9克）﹑生甘草（6克）,HKC-11432
92,蒼耳子散,蒼耳子（12克）﹑辛荑花（12克）﹑白芷（6克）﹑薄荷葉（6克）﹑茶葉（3克）﹑蒽（3克）,HKC-11433
93,增液湯,玄參（30克）﹑麥門冬（18克）﹑生地黃（18克）,HKC-11431
96,獨活寄生湯,"獨活（9克）﹑桑寄生（6克）﹑杜仲（6克）﹑川牛膝（6克）﹑生地黃（6克）﹑秦艽（6克）﹑桂枝（6克）﹑防風
（6克）﹑川芎（6克）﹑黨參（6克）﹑生甘草（6克）﹑茯苓（6克）﹑當歸（6克）﹑白芍（6克）﹑細辛（3克）",HKNT-11429
97,龍膽瀉肝湯,"龍膽草（9克）﹑黃芩（9克）﹑山梔子（6克）﹑車前子（6克）﹑生地黃（6克）﹑澤瀉（6克）﹑柴胡（6克）﹑生
甘草（6克）﹑川木通（6克）﹑當歸（6克）",HKC-11428
98,濟生腎氣丸,"熟地（6克）﹑熟附子（6克）﹑山藥（3克）﹑澤瀉（3克）﹑茯苓（3克）﹑牡丹皮（3克）﹑肉桂（3克）﹑山萸肉
（3克）﹑川牛膝（6克）﹑車前子（3克）",HKNT-11427
99,歸脾湯,"黃芪（12克）﹑龍眼肉（12克）﹑酸棗仁（12克）﹑當歸（9克）﹑白朮（9克）﹑茯神（9克）﹑黨參（9克）﹑木
香（6克）﹑炙甘草（6克）﹑遠志（6克）﹑生薑（6克）﹑大棗（6克）",HKC-11419
103,藿香正氣散,"藿香（15克）﹑白朮（9克）﹑厚樸（9克）﹑桔梗（9克）﹑法半夏（9克）﹑茯苓（6克）﹑大腹皮（6克）﹑白芷
（6克）﹑紫蘇葉（6克）﹑陳皮（6克）﹑炙甘草（3克）﹑生薑（6克）﹑大棗（6克）",HKC-11420
104,蠲痺湯,"炙黃芪（9克）﹑薑黃（9克）﹑當歸（9克）﹑羌活（6克）﹑赤芍（6克）﹑防風（6克）﹑生薑（6克）﹑炙甘草
（3克）",HKC-11418
N-001,七寶美髯丹,何首烏（24克）﹑茯苓（6克）﹑當歸（6克）﹑淮牛膝（6克）﹑枸杞子（6克）﹑菟絲子（6克）﹑補骨脂（3克）,
N-002,二至丸,女貞子（9克）﹑旱蓮草（9克）,
N-003,人參敗毒散,"黨參（9克）﹑前胡（9克）﹑川芎（9克）﹑枳殼（9克）﹑羌活（9克）﹑獨活（9克）﹑茯苓（9克）﹑桔梗（9
克）﹑生薑（9克）﹑柴胡（9克）﹑生甘草（9克）﹑薄荷葉（3克）",
N-004,人參養營湯,"白芍（18克）﹑黃芪（12克）﹑當歸（9克）﹑陳皮（6克）﹑肉桂（3克）﹑黨參（6克）﹑白朮（6克）﹑炙甘草
（6克）﹑熟地黃（9克）﹑五味子（3克）﹑茯苓（3克）﹑遠志（6克）﹑大棗（3克）﹑生薑（4.5克）",
N-005,三黃瀉心湯,大黃（6克）﹑黃連（6克）﹑黃芩（3克）,
N-006,上中下通用痛風丸,"天南星（15克）﹑蒼朮（15克）﹑黃柏（15克）﹑川芎（9克）﹑神曲（9克）﹑桃仁（6克）﹑漢防己（6克）﹑威
靈仙（4.5克）﹑羌活（4.5克）﹑桂枝（4.5克）﹑紅花（4.5克）﹑龍膽草（4.5克）",
N-007,大柴胡湯,"柴胡（9克）﹑黃芩（9克）﹑赤芍（9克）﹑半夏（9克）﹑生薑（9克）﹑枳實（9克）﹑大棗（9克）﹑大黃（9
克）",
N-008,大秦艽湯,"秦艽（9克）﹑川芎（6克）﹑獨活（6克）﹑當歸（6克）﹑白芍（6克）﹑石膏（6克）﹑生甘草（6克）﹑羌活（3
克）﹑防風（3克）﹑白芷（3克）﹑黃芩（3克）﹑白朮（3克）﹑茯苓（3克）﹑生地黃（3克）﹑熟地黃（3克）﹑
細辛（1.5克）",
N-009,小承氣湯,大黃（12克）﹑厚樸（6克）﹑枳實（9克）,
N-010,小建中湯,赤芍（18克）﹑桂枝（9克）﹑炙甘草（6克）﹑生薑（9克）﹑大棗（9克）﹑飴糖（9克）,
N-011,小活絡丹,製川烏（3克）﹑熟附子（3克）﹑天南星（1.5克）﹑地龍（3克）﹑乳香（1.2克）﹑沒藥（1.2克）,
N-012,五積散,"白芷（3克）﹑炙甘草（3克）﹑川芎（3克）﹑茯苓（3克）﹑當歸（3克）﹑肉桂（3克）﹑白芍（3克）﹑半夏（3
克）﹑陳皮（6克）﹑枳殼（6克）﹑麻黃（6克）﹑蒼朮（24克）﹑桔梗（12克）﹑乾薑（4.5克）﹑厚樸（4.5克）",
N-013,升麻葛根湯,升麻（9克）﹑葛根（9克）﹑赤芍（9克）﹑炙甘草（9克）,
N-014,半夏厚樸湯,半夏（12克）﹑茯苓（12克）﹑厚樸（12克）﹑生薑（15克）﹑紫蘇葉（9克）,
N-015,四妙丸,黃柏（9克）﹑薏苡仁（18克）﹑蒼朮（9克）﹑川牛膝（9克）,
N-016,四逆湯,熟附子（9克）﹑乾薑（9克）﹑炙甘草（12克）,
N-017,玉女煎,石膏（15克）﹑熟地黃（15克）﹑麥門冬（6克）﹑知母（4.5克）﹑淮牛膝（4.5克）,
N-018,甘草瀉心湯,法半夏（12克）﹑炙甘草（12克）﹑黃芩（9克）﹑黨參（9克）﹑乾薑（9克）﹑黃連（3克）﹑大棗（6克）,
N-019,甘露飲,"枇杷葉（6克）﹑熟地黃（6克）﹑天門冬（6克）﹑枳殼（6克）﹑茵陳蒿（6克）﹑生地黃（6克）﹑麥門冬（6克）
﹑石斛（6克）﹑炙甘草（6克）﹑黃芩（6克）",
N-020,生化湯,當歸（24克）﹑川芎（9克）﹑桃仁（6克）﹑黑乾薑（1.5克）﹑炙甘草（1.5克）,
N-021,石斛夜光丸,"天門冬（6克）﹑黨參（6克）﹑茯苓（6克）﹑五味子（1.5克）﹑刺疾藜（1.5克）﹑石斛（1.5克）﹑肉蓯蓉（1.5
克）﹑川芎（1.5克）﹑炙甘草（1.5克）﹑青箱子（1.5克）﹑防風（1.5克）﹑黃連（1.5克）﹑水牛角（1.5克）﹑杭
菊花（2.1克）﹑菟絲子（2.1克）﹑山藥（2.1克）﹑枸杞子（2.1克）﹑淮牛膝（2.1克）﹑杏仁（2.1克）﹑麥門冬
（3克）﹑熟地（3克）﹑生地（3克）﹑決明子（2.4克）",
N-022,地黃飲子,"熟地黃（12克）﹑巴戟天（9克）﹑山茱萸（9克）﹑石斛（9克）﹑肉蓯蓉（9克）﹑熟附子（6克）﹑五味子（6
克）﹑肉桂（6克）﹑茯苓（6克）﹑麥門冬（6克）﹑石菖蒲（6克）﹑遠志（6克）",
N-023,安神定志丸,茯苓（12克）﹑茯神（12克）﹑黨參（12克）﹑遠志（12克）﹑石菖蒲（6克）﹑龍齒（6克）,
N-024,托里消毒散（飲）,"黨參（3克）﹑川芎（3克）﹑白芍（3克）﹑黃芪（3克）﹑白朮（3克）﹑茯苓（3克）﹑連翹（3克）﹑金銀花（3
克）﹑白芷（1.5克）﹑生甘草（1.5克）﹑桔梗（1.5克）﹑皂角刺（1.5克）",
N-025,竹茹溫膽湯,"柴胡（6克）﹑竹茹（9克）﹑桔梗（9克）﹑枳實（9克）﹑黃連（1.5克）﹑黨參（15克）﹑陳皮（2.4克）﹑半夏
（2.4克）﹑茯苓（2.4克）﹑香附子（2.4克）﹑生甘草（0.9克）﹑生薑（3克）﹑大棗（3克）",
N-026,芍藥甘草湯,白芍（12克）﹑炙甘草（12克）,
N-027,身痛逐瘀湯,"秦艽（3克）﹑川芎（6克）﹑桃仁（9克）﹑紅花（9克）﹑生甘草（6克）﹑羌活（3克）﹑没藥（6克）﹑當歸（9
克）﹑五靈脂（6克）﹑香附子（3克）﹑淮牛膝（9克）﹑地龍（6克）",
N-028,辛荑清肺飲,"辛荑花（3克）﹑生甘草（3克）﹑知母（6克）﹑山梔子（6克）﹑黃芩（6克）﹑百合（6克）﹑麥門冬（6克）﹑石
膏（6克）﹑枇杷葉（3克）﹑升麻（3克）",
N-029,防己黃芪湯,漢防己（12克）﹑黃芪（12克）﹑炙甘草（6克）﹑白朮（9克）,
N-030,明目地黃丸,"熟地黃（12克）﹑生地黃（12克）﹑山藥（6克）﹑澤瀉（6克）﹑山茱萸（6克）﹑牡丹皮（6克）﹑柴胡（6克）﹑
茯神（6克）﹑當歸（6克）﹑五味子（6克）",
N-031,枇杷清肺飲,枇杷葉（12克）﹑桑白皮（12克）﹑黃柏（6克）﹑黃連（6克）﹑黨參（3克）﹑炙甘草（3克）,
N-032,治濁固本丸,"炙甘草（9克）﹑豬苓（2.15克）﹑蓮須（6克）﹑黃連（6克）﹑茯苓（3克）﹑砂仁（3克）﹑半夏（3克）﹑黃芩
（3克）﹑益智仁（3克）",
N-033,金沸草散,"旋覆花（9克）﹑麻黃（9克）﹑前胡（9克）﹑荊芥（12克）﹑炙甘草（3克）﹑製半夏（3克）﹑赤芍（3克）﹑生
薑（3克）﹑大棗（3克）",
N-034,附子理中丸,黨參（9克）﹑白朮（9克）﹑乾薑（9克）﹑炙甘草（9克）﹑製附子（9克）,
